Data,Net,MODE,Domain,Iteration,Accuracy,TimeStamp,elapse(ms),,,
CIFAR10,VGG,GPU,Spatial,11100,0.96875,1.56444E+12,36585,,,
CIFAR10,VGG,GPU,Spatial,11200,0.953125,1.56444E+12,36589,,,
CIFAR10,VGG,GPU,Spatial,11300,0.8984375,1.56444E+12,36587,,,
CIFAR10,VGG,GPU,Spatial,11400,0.9375,1.56444E+12,36591,,,
CIFAR10,VGG,GPU,Spatial,11500,0.9453125,1.56444E+12,36595,,,
CIFAR10,VGG,GPU,Spatial,11600,0.9609375,1.56444E+12,36595,,,
CIFAR10,VGG,GPU,Spatial,11700,0.9765625,1.56444E+12,36596,,,
CIFAR10,VGG,GPU,Spatial,11800,0.9609375,1.56444E+12,36596,,,
CIFAR10,VGG,GPU,Spatial,11900,0.96875,1.56444E+12,113130,,,
CIFAR10,VGG,GPU,Spatial,12000,0.9453125,1.56444E+12,36571,,,
CIFAR10,VGG,GPU,Spatial,12100,0.9609375,1.56444E+12,36580,,,
CIFAR10,VGG,GPU,Spatial,12200,0.9375,1.56444E+12,36585,,,
CIFAR10,VGG,GPU,Spatial,12300,0.96875,1.56444E+12,36595,,,
CIFAR10,VGG,GPU,Spatial,12400,0.9453125,1.56444E+12,36597,,,
CIFAR10,VGG,GPU,Spatial,12500,0.96875,1.56444E+12,36594,,,
CIFAR10,VGG,GPU,Spatial,12600,0.9609375,1.56444E+12,36596,,,
CIFAR10,VGG,GPU,Spatial,12700,0.9453125,1.56444E+12,36594,,,
CIFAR10,VGG,GPU,Spatial,12800,0.9609375,1.56444E+12,36593,,,
CIFAR10,VGG,GPU,Spatial,12900,0.953125,1.56444E+12,113123,,,
CIFAR10,VGG,GPU,Spatial,13000,0.96875,1.56444E+12,36568,,,
CIFAR10,VGG,GPU,Spatial,13100,0.9375,1.56444E+12,36584,,,
CIFAR10,VGG,GPU,Spatial,13200,0.96875,1.56444E+12,36591,,,
CIFAR10,VGG,GPU,Spatial,13300,0.9921875,1.56444E+12,36595,,,
CIFAR10,VGG,GPU,Spatial,13400,0.9375,1.56444E+12,36596,,,
CIFAR10,VGG,GPU,Spatial,13500,0.984375,1.56444E+12,36594,,,
CIFAR10,VGG,GPU,Spatial,13600,0.9609375,1.56444E+12,36590,,,
CIFAR10,VGG,GPU,Spatial,13700,0.9921875,1.56444E+12,36590,,,
CIFAR10,VGG,GPU,Spatial,13800,0.953125,1.56444E+12,36592,,,
CIFAR10,VGG,GPU,Spatial,13900,0.984375,1.56444E+12,113125,,,
CIFAR10,VGG,GPU,Spatial,14000,0.9765625,1.56444E+12,36569,,,
CIFAR10,VGG,GPU,Spatial,14100,0.9453125,1.56444E+12,36580,,,
CIFAR10,VGG,GPU,Spatial,14200,0.984375,1.56444E+12,36584,,,
CIFAR10,VGG,GPU,Spatial,14300,0.9609375,1.56445E+12,36592,,,
CIFAR10,VGG,GPU,Spatial,14400,0.96875,1.56445E+12,36593,,,
CIFAR10,VGG,GPU,Spatial,14500,0.9453125,1.56445E+12,36593,,,
CIFAR10,VGG,GPU,Spatial,14600,0.9921875,1.56445E+12,36594,,,
CIFAR10,VGG,GPU,Spatial,14700,0.984375,1.56445E+12,36594,,,
CIFAR10,VGG,GPU,Spatial,14800,0.9609375,1.56445E+12,36592,,,
CIFAR10,VGG,GPU,Spatial,14900,0.9453125,1.56445E+12,113123,,,
CIFAR10,VGG,GPU,Spatial,15000,0.96875,1.56445E+12,36564,,,
CIFAR10,VGG,GPU,Spatial,15100,0.9453125,1.56445E+12,36572,,,
CIFAR10,VGG,GPU,Spatial,15200,0.9375,1.56445E+12,36582,,,
CIFAR10,VGG,GPU,Spatial,15300,0.9765625,1.56445E+12,36586,,,
CIFAR10,VGG,GPU,Spatial,15400,0.9765625,1.56445E+12,36589,,,
CIFAR10,VGG,GPU,Spatial,15500,0.984375,1.56445E+12,36589,,,
CIFAR10,VGG,GPU,Spatial,15600,0.9375,1.56445E+12,36595,,,
CIFAR10,VGG,GPU,Spatial,15700,0.9609375,1.56445E+12,36594,,,
CIFAR10,VGG,GPU,Spatial,15800,0.9609375,1.56445E+12,36593,,,
CIFAR10,VGG,GPU,Spatial,15900,0.9453125,1.56445E+12,113124,,,
CIFAR10,VGG,GPU,Spatial,16000,0.96875,1.56445E+12,36565,,,
CIFAR10,VGG,GPU,Spatial,16100,0.984375,1.56445E+12,36572,,,
CIFAR10,VGG,GPU,Spatial,16200,0.9609375,1.56445E+12,36581,,,
CIFAR10,VGG,GPU,Spatial,16300,0.9765625,1.56445E+12,36589,,,
CIFAR10,VGG,GPU,Spatial,16400,0.984375,1.56445E+12,36586,,,
CIFAR10,VGG,GPU,Spatial,16500,0.9765625,1.56445E+12,36592,,,
CIFAR10,VGG,GPU,Spatial,16600,0.96875,1.56445E+12,36589,,,
CIFAR10,VGG,GPU,Spatial,16700,0.984375,1.56445E+12,36592,,,
CIFAR10,VGG,GPU,Spatial,16800,0.984375,1.56445E+12,36593,,,
CIFAR10,VGG,GPU,Spatial,16900,0.9609375,1.56445E+12,113127,,,
CIFAR10,VGG,GPU,Spatial,17000,0.96875,1.56445E+12,36571,,,
CIFAR10,VGG,GPU,Spatial,17100,0.9765625,1.56445E+12,36572,,,
CIFAR10,VGG,GPU,Spatial,17200,0.9296875,1.56445E+12,36574,,,
CIFAR10,VGG,GPU,Spatial,17300,0.96875,1.56445E+12,36581,,,
CIFAR10,VGG,GPU,Spatial,17400,0.953125,1.56445E+12,36583,,,
CIFAR10,VGG,GPU,Spatial,17500,0.953125,1.56445E+12,36589,,,
CIFAR10,VGG,GPU,Spatial,17600,0.9765625,1.56445E+12,36593,,,
CIFAR10,VGG,GPU,Spatial,17700,0.96875,1.56445E+12,36595,,,
CIFAR10,VGG,GPU,Spatial,17800,0.9609375,1.56445E+12,36591,,,
CIFAR10,VGG,GPU,Spatial,17900,0.9765625,1.56445E+12,113133,,,
CIFAR10,VGG,GPU,Spatial,18000,0.953125,1.56445E+12,36569,,,
CIFAR10,VGG,GPU,Spatial,18100,0.9375,1.56445E+12,36578,,,
CIFAR10,VGG,GPU,Spatial,18200,0.9921875,1.56445E+12,36588,,,
CIFAR10,VGG,GPU,Spatial,18300,0.953125,1.56445E+12,36586,,,
CIFAR10,VGG,GPU,Spatial,18400,0.9765625,1.56445E+12,36591,,,
CIFAR10,VGG,GPU,Spatial,18500,0.984375,1.56445E+12,36595,,,
CIFAR10,VGG,GPU,Spatial,18600,0.9375,1.56445E+12,36594,,,
CIFAR10,VGG,GPU,Spatial,18700,0.984375,1.56445E+12,36592,,,
CIFAR10,VGG,GPU,Spatial,18800,1,1.56445E+12,36591,,,
CIFAR10,VGG,GPU,Spatial,18900,0.9921875,1.56445E+12,113129,,,
CIFAR10,VGG,GPU,Spatial,19000,0.96875,1.56445E+12,36565,,,
CIFAR10,VGG,GPU,Spatial,19100,0.9765625,1.56445E+12,36572,,,
CIFAR10,VGG,GPU,Spatial,19200,0.984375,1.56445E+12,36583,,,
CIFAR10,VGG,GPU,Spatial,19300,0.984375,1.56445E+12,36583,,,
CIFAR10,VGG,GPU,Spatial,19400,0.9609375,1.56445E+12,36581,,,
CIFAR10,VGG,GPU,Spatial,19500,0.9765625,1.56445E+12,36585,,,
CIFAR10,VGG,GPU,Spatial,19600,0.96875,1.56445E+12,36581,,,
CIFAR10,VGG,GPU,Spatial,19700,0.96875,1.56445E+12,36586,,,
CIFAR10,VGG,GPU,Spatial,19800,0.9765625,1.56445E+12,36579,,,
CIFAR10,VGG,GPU,Spatial,19900,1,1.56445E+12,113305,,,
CIFAR10,VGG,GPU,Spatial,20000,0.984375,1.56445E+12,36565,,,
CIFAR10,VGG,GPU,Spatial,20100,0.9375,1.56445E+12,36573,,,
CIFAR10,VGG,GPU,Spatial,20200,0.96875,1.56445E+12,36582,,,
CIFAR10,VGG,GPU,Spatial,20300,0.9375,1.56445E+12,36587,,,
CIFAR10,VGG,GPU,Spatial,20400,0.9453125,1.56445E+12,36594,,,
CIFAR10,VGG,GPU,Spatial,20500,0.9453125,1.56445E+12,36593,,,
CIFAR10,VGG,GPU,Spatial,20600,0.9921875,1.56445E+12,36591,,,
CIFAR10,VGG,GPU,Spatial,20700,0.9921875,1.56445E+12,36592,,,
CIFAR10,VGG,GPU,Spatial,20800,0.9921875,1.56445E+12,36585,,,
CIFAR10,VGG,GPU,Spatial,20900,0.96875,1.56445E+12,113127,,,
CIFAR10,VGG,GPU,Spatial,21000,0.96875,1.56445E+12,36566,,,
CIFAR10,VGG,GPU,Spatial,21100,0.96875,1.56445E+12,36574,,,
CIFAR10,VGG,GPU,Spatial,21200,0.9609375,1.56445E+12,36577,,,
CIFAR10,VGG,GPU,Spatial,21300,0.9375,1.56445E+12,36585,,,
CIFAR10,VGG,GPU,Spatial,21400,1,1.56445E+12,36589,,,
CIFAR10,VGG,GPU,Spatial,21500,0.9921875,1.56445E+12,36590,,,
CIFAR10,VGG,GPU,Spatial,21600,0.9609375,1.56445E+12,36588,,,
CIFAR10,VGG,GPU,Spatial,21700,0.9609375,1.56445E+12,36586,,,
CIFAR10,VGG,GPU,Spatial,21800,0.9921875,1.56445E+12,36588,,,
CIFAR10,VGG,GPU,Spatial,21900,0.9765625,1.56445E+12,113128,,,
CIFAR10,VGG,GPU,Spatial,22000,0.953125,1.56445E+12,36566,,,
CIFAR10,VGG,GPU,Spatial,22100,0.984375,1.56445E+12,36575,,,
CIFAR10,VGG,GPU,Spatial,22200,0.953125,1.56445E+12,36586,,,
CIFAR10,VGG,GPU,Spatial,22300,0.984375,1.56445E+12,36589,,,
CIFAR10,VGG,GPU,Spatial,22400,0.9765625,1.56445E+12,36588,,,
CIFAR10,VGG,GPU,Spatial,22500,0.984375,1.56445E+12,36586,,,
CIFAR10,VGG,GPU,Spatial,22600,1,1.56445E+12,36592,,,
CIFAR10,VGG,GPU,Spatial,22700,0.9765625,1.56445E+12,36591,,,
CIFAR10,VGG,GPU,Spatial,22800,0.9609375,1.56445E+12,36589,,,
CIFAR10,VGG,GPU,Spatial,22900,0.9609375,1.56445E+12,113123,,,
CIFAR10,VGG,GPU,Spatial,23000,1,1.56445E+12,36565,,,
CIFAR10,VGG,GPU,Spatial,23100,0.953125,1.56445E+12,36571,,,
CIFAR10,VGG,GPU,Spatial,23200,1,1.56445E+12,36585,,,
CIFAR10,VGG,GPU,Spatial,23300,0.9921875,1.56445E+12,36583,,,
CIFAR10,VGG,GPU,Spatial,23400,1,1.56445E+12,36584,,,
CIFAR10,VGG,GPU,Spatial,23500,0.9921875,1.56445E+12,36588,,,
CIFAR10,VGG,GPU,Spatial,23600,0.96875,1.56445E+12,36588,,,
CIFAR10,VGG,GPU,Spatial,23700,0.9609375,1.56445E+12,36589,,,
CIFAR10,VGG,GPU,Spatial,23800,0.9609375,1.56445E+12,36587,,,
CIFAR10,VGG,GPU,Spatial,23900,0.9921875,1.56445E+12,113140,,,
CIFAR10,VGG,GPU,Spatial,24000,0.96875,1.56445E+12,36568,,,
CIFAR10,VGG,GPU,Spatial,24100,0.9765625,1.56445E+12,36574,,,
CIFAR10,VGG,GPU,Spatial,24200,0.9609375,1.56445E+12,36584,,,
CIFAR10,VGG,GPU,Spatial,24300,0.9765625,1.56445E+12,36589,,,
CIFAR10,VGG,GPU,Spatial,24400,0.984375,1.56445E+12,36592,,,
CIFAR10,VGG,GPU,Spatial,24500,0.9609375,1.56445E+12,36589,,,
CIFAR10,VGG,GPU,Spatial,24600,0.9765625,1.56445E+12,36591,,,
CIFAR10,VGG,GPU,Spatial,24700,0.9609375,1.56445E+12,36589,,,
CIFAR10,VGG,GPU,Spatial,24800,0.9765625,1.56445E+12,36591,,,
CIFAR10,VGG,GPU,Spatial,24900,0.953125,1.56445E+12,113127,,,
